,time,new_zealand,greenland,n_atlantic,s_atlantic,indonesia,japan,oregon,alaska,china,congo,mediterranean,antarctica,arabean_sea,gulf_of_mexico,e_pacific,s_australia,philippines,s_america,iceland,scandinavia,w_africa
113,11300,-0.457072103,2.198460571,-0.36222184,0.111493697,-0.11486282,0.475411088,-0.355845222,-0.000762067,-0.075857166,0.028410041,1.965544691,-0.843967859,-0.345567864,-0.174432033,-0.330141992,-0.19181702,0.047996467,-0.309625278,-0.339042948,1.139488042,-0.030073987
114,11400,-0.214936457,6.116438239,-0.483503313,-0.353515337,-0.064808023,0.958622531,0.284919588,-0.472302671,-0.385344168,0.986939814,2.468885162,-1.518343222,-0.642326521,-0.077096393,-0.350511351,0.114904961,-0.126400486,-0.182715216,-0.009166258,3.084816439,0.14380019
115,11500,-0.319020054,1.543715452,-0.519479008,-0.261830368,-0.056522857,0.691931895,0.585296916,-0.630145352,-0.707259163,0.759317107,2.6706711,-1.010370064,-1.012715077,0.398699999,-0.234439157,0.082420942,0.079229816,-0.138739868,-0.126797413,2.595822349,0.179744093
116,11600,-0.250399183,1.309629976,-0.183798227,0.51466423,-0.11063189,0.734923944,1.305181997,-0.574892285,-0.842823154,-2.26545835,2.495179123,-0.920100942,-1.404261612,0.580791041,-0.104799664,0.355182923,0.095150667,-0.054359367,-0.093677098,3.035805917,0.189082338
117,11700,-0.145653491,11.56224655,-0.075286627,0.075962744,-0.367998871,0.681183048,1.2657445,-0.676434467,-0.954335176,-0.629262776,2.455285008,-0.553493024,-1.783757529,0.500384726,0.04430267,0.537488903,0.101030306,0.13009126,-0.366791325,1.547317455,0.142513454
118,11800,-0.105550201,11.62461316,0.195733126,0.124922556,-0.577944396,-0.375453256,1.659282384,-1.002582357,-0.979139167,1.287990262,1.893245633,-0.712055909,-2.347100771,0.349354336,0.065529404,0.681518884,-0.222215994,0.155830783,0.435742936,1.641148916,0.104765326
119,11900,-0.043176998,13.32648593,1.122558577,0.490293915,-0.453497469,1.103146748,1.408834397,-1.392728506,-1.126496189,1.517860497,2.019629582,-0.760079849,-2.816832514,0.459177716,0.331152169,0.797162865,-0.187646223,0.173680213,0.670341964,0.869266702,0.267172723
120,12000,-0.073058837,10.96363683,1.751118523,-0.005676852,-0.549273578,0.349565942,1.514581066,-1.672513673,-1.225084151,1.613729259,1.69875195,-0.55683397,-3.057410148,0.425434139,0.356590874,0.967027011,-0.423291545,0.231045519,0.629857484,1.021450796,0.289084643
121,12100,-0.005329754,13.73913145,1.528149195,0.765883903,-0.787859543,-0.345780946,1.099307092,-2.323519012,-1.493090151,1.606793888,1.777288678,-0.170225294,-3.18601075,0.43421655,0.305991599,0.992576262,-0.539677746,0.30634828,0.270358566,0.907143819,0.469881312
122,12200,0.022544217,10.49802724,1.307770135,0.288560527,-0.781051811,0.082903139,1.03959862,-3.258715226,-1.635563151,1.587698398,1.949355445,0.021175692,-3.035970939,0.31359996,0.199083758,1.032099513,-0.454827254,0.322012668,0.354958854,0.53137947,0.456087143
